question,extracted_terms
C#과 C++ OpenCV java는 어떤 관계가 있나요? 객체지향 이란?,C
"MVC MVP MVVM과 같은 아키텍트 패턴 질문, 비동기 처리에 관한 질문, 프로젝트 경험 질문을 합니 다.",C
"Use case를 바탕으로 최근 보안공격의 형태와 침해사고 유형별 시스템별을 설명하라. 4g/5g등 이동통신망의 구조와 5G보안공격, MEC에 대한 보안아키텍처 설계 방향성 설명",C
"팀원끼리 여러가지 과제를 수행하게함. 기억에 남았던건 스피드 퀴즈 형식으로 A, B, C, D가 있는데 A 는 B가 머라고 생각하고 B는 D가 머라고 생각하고~~ 여기서 A, B, C, D는 무엇인가 라는 것 같은 문제 를 스피드 퀴즈 형식으로 냄. 정답을 맞추기보단 정답까지 가는데 추론과정과 팀들을 어떻게 활용하는 지 리더십을 보는 것 같음. 기술멵접은 자기가 자신있다고 하는 분야에 대해 물어봄. 안드로이드가 자신 있으면 4대요소 등등을 물어보는 정도.",C
Ccna가 잇냐 네트워크관련프로젝트 경험을 이야기 하라 학교는 지방에서 다닌것이냐(블라인드때문에 어거지로 물어보는듯) 학점수준은 상중하중 어디쯤이라고 생각하느냐 좋아하는 색깔은. 네트워크에서 가장중요하다고 생각하는것운?,C
"자신의 개발자로서의 장점, TCP/IP에 관하여 설명하시오.",C
"Carrier Aggregation, Multi Carrier는 이미 상용화가 되어있다. CA, MC 이외의 방법은 뭐가 있나? 포트포워딩, IP , NAT에 관한 질문이 나왔습니다. 채용방식 인/적성검사, PT면접, 개인면접 발표시기 30일 후 ""서류전형 - SKCT - 1차 면접 - 2차 면접"" 불합격 보통 도움이 돼요 0",C
"최근 가장 기억에 남는 기사 하나를 말한 다음 그에 대해 어떻게 생각하는지 채용방식 인/적성검사, PT면접, 개인면접 ""인턴으로 지원했고 서류 - SKCT - 면접 순으로 진행되었습니다. 면접은 처음에 조별로 주제와 관련 자료를 준 다음 그 해결방안을 발표하는 것이었 습니다. 2개의 조가 서로 발표를 하고 그에 대해 질문을 던지는 그런 방식이었습니다. 그러면서 동시에 한명씩 불려가면서 1:다 면접을 봤습니다"" 불합격 정보없음 도움이 돼요 1",C
"어떤 부서가 있는지 몰랐기 때문에 당황했고, 성격이 내성적이냐는 질문도 의도를 알 수 없어 당황스러 웠습니다. 채용방식 그룹면접, 개인면접 ""상반기 인턴에서 인적성 검사를 합격하고 방문했습니다. 그룹 면접과 팀장 면접이 있었는데 5,6명씩 한팀이고 두팀이 그룹면접에 임하게 됩니다. 그룹면접 중 간에 한명씩 데려가서 팀장님과 면담을 하게 됩니다. 그룹 면접에선 사원들 세명 정 도가 팀끼리 토론하고 발표하는 것을 지켜보십니다. 팀장 면접 직전엔 마실 것도 권 유해 주시는 등 긴장을 풀어주시려 노력하십니다. 그룹면접에서 저희 조는 NFV에 관한 것이 나왔습니다. 팀장 면접 질문은 지원이유와 자기소개, 첫면접인지, 성격이 내성적인지, 야근할 수 있는지, 현장조사시 야근할 수 있는지, 건강한지, 부서는 어 떤 것이 있는지 아는지, 사내에 아는 선배가 있는지, 다음 카카오톡 합병을 ICT관점 에서 말해봐라 등이 있었습니다."" BEST 불합격 보통 신입공채 채용 판도 뒤바꾼 SKT…”오히려 좋 아” [인터뷰] SK텔레콤 광고사업팀 김유민님, Ranker팀 김태 현님 찐친부터 가족까지 입사시키고 싶은 이 회 사, 비결은? 찐으로 ‘좋아요’ 꾸욱 누르게 만드는 SKT 구성원 리뷰 모 음.zip K텔레콤(주) 사의 빠른 소식을 받아보세요! 2 코이즈(주) 8 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  신고하기 도움이 돼요 2",C
"30년 후 자신의 Career 미래를 어떻게 보고 있는가? 채용방식 인/적성검사, 케이스 면접, PT면접, 그룹면접, 토론면접, 개인면접, 워크숍 발표시기 14일 후 ""자기소개서는 온라인으로 제출하고 SKCT라는 인적성 시험을 치게 됩니다. 시험을 합격한 후에는 1박 2일의 합숙면접을 보게 되는데 이때 지원자의 모든 면을 속속들 이 파헤친다고 보면 됩니다. 숨길래야 숨길 수가 없는 부분까지 모두 측정하고 관찰 합니다. 합숙면접이 끝나면 임원 면접이 있고 마지막으로 신체검사 후 채용으로 이 어집니다."" 합격 긍정적 도움이 돼요 1",C
"복장이 자유복이었는데, 지금 복장을 선택한 이유 ""SK서류전형 - SKCT - 1차면접 - 인턴쉽 - JobOffer"" 대기중 보통 도움이 돼요 0",C
1. 지금 사용하고 있는 PC의 사양과 직접 조립이 어느정도 가능한지? 2. 사용하고 있는 PC의 코드네임과 특징을 알고 있는지? 3. 축구를 잘 하는지?,C
1. 과제를 맡았는데 일정이 부족하면 어떻할거냐 2. CI가 무엇인지 아느냐 3. 결정테이블이 뭔지 아느냐,C
"조직생활에 잘 녹아들기위한 노력 및 트러블을 없애기 위한 노력은 무엇? 채용방식 필기시험, 케이스 면접 발표시기 30일 후 ""1차면접 조직장면접 2차면접 CTO 면접 3차면접 써드아이"" 합격 보통 도움이 돼요 0",C
"안드로이드에서 context가 무엇인가?? 안드로이드 핵심 컴퍼넌트는 무엇이며 설명해보시오. 채용방식 필기시험, 케이스 면접 발표시기 14일 후 ""1차로 문제 내주는거 풀고 지금까지 했던 프로젝트 위주로 물어봅니다. 다음은 CTO면접 그리고 인성면접 끝."" 합격 보통 도움이 돼요 0",C
"문자열 리버스 함수를 구현하시오. 팩토리 메서드로 리펙토링 하시오. 직접 구현한 플랫폼을 그리고 설명하시오 채용방식 필기시험, 스킬테스트, 개인면접 발표시기 30일 후 ""손코딩, 기술면접, CTO 면접 순으로 진행. 평이한 난이도에. CTO면접은 주로 CTO님의 말씀 듣는 시간이었음"" 합격 긍정적 도움이 돼요 0",C
1차는 코딩테스트 및 경력 및 기본적인 개발관련 지식등을 물어봅니다. 2차 CTO면접에서는 코딩테스트에 관련된 질문과 1차보다는 어려울 수 있는 기술관련 질문이 들어올 수 있습니다. 인성면접에서는 회사의 비지니스 모델관련 질문과 회사 관련 언론 기사에 관련된 질문도 있었습니다. 회사에 대한 관심도를 알아보려는 의도였던 것 같습니다. 동료직원과 어떻게 협업하는지 등의 질문이 들어왔는데 압박면접에 가까웠습니다.,C
"1. 자기소개 2. 스프링이 뭐냐 3. Concurrent 아냐 4. catch uncatch 차이 5. throws, throw 차이 등 여러개",C
"1차면접에서 기술면접은 OOP , java 메모리 구조, 오버라이딩 오버로딩 차이와 같은전형적인 질문. 2차 써드아이에서는 자기소개서 기반으로 학교생활 관련 심층 질문. 대화하듯이 편하게 진행됨. CTO 면접에서는 전형적인 기술면접 문제가 아니라 심층적으로 깊이 고민하고 생각하는 case가 주어짐. 자 세한 내용은 관련 서약때문에 공개하지 않겠습니다.",C
"손코딩은 간단한 알고리즘 문제가 나옴. 교집합. 비트연산. 요구사항에 맞는 리스트 만들기 기술 질문은 직무에 관련된 기술에 대해 세세하게 물어보는 편. 단순하게 사용해본 프레임워크나 MVC, IoC, AOP 등에 대해 아는 것을 설명해 달라고도 함. 사용해본 데이터베이스의 차이점이나 장점 등도 질문함.",C
"팀장급 면접 다른 후기에 나온 질문 안에서 나옴. 필기문제는 이진수 구하기(2로 나누거나 시프트 하는), Set 교집합, List<Integer>를 20이하로 묶어서 새 List 만들기 CTO 면접 러시아에 있는 서버와의 통신 시간이 너무 오래 걸린다 어떻게 줄이나? 스프링 컨트롤러에서 서비스 로그를 남겨야 하는데, 로그를 남기는것 자체가 I.O가 발생하는데 효율적 으로 하려면? 채용방식 필기시험, 개인면접 발표시기 20일 후 ""경력직 서류-팀장급 기술(2인)-CTO기술-써드아이 인성"" 불합격 보통 도움이 돼요 1",C
스프링의 IoC나 AoP를 아는데로 설명 디자인패턴 아는거 설명 그리고 직적 자바 프로젝트를 구축해보라,C
"손코딩 = 기본 문자열 관련된 코딩 채용방식 필기시험, 개인면접 발표시기 3일 후 ""1차 손코딩 + 실무 면접 앱개발과 관련된 기본 지식들을 물어봄 1시간 정도.. 2차 CTO 면접도 실무 와 마찬가지 질문 던짐"" 불합격 보통 액 3000억원 이상 (주)교원 포지션 0개 채용 중 2 코이즈(주) - 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  회사소개 이용약관 개인정보처리방침 커뮤니티가이드라인 모바일 버전 공지사항 광고 및 제휴문의 고객 문의 FAQ | | | | | | | | (주)브레인커머스 서울특별시 강남구 테헤란로 509 엔씨타워 I, 10층 | 대표   황희승, 윤신근 | 개인정보보호관리자   윤신근 사업자등록번호   120-87-92182 | 통신판매업 신고번호   제2014-서울강남-02942호 | 유료 직업소개사업 등록번호   (국내) 제2017-3220163-14-5-00046호 대표번호   1644-5641 (10:00~17:00 / 매월 마지막 금요일 09:00~13:00 / 주말 및 공휴일 휴무) | 대표이메일 : customer_service@jobplanet.co.kr ©Jobplanet. All rights reserved. 47 48 49 50 51 신고하기 도움이 돼요 0",C
1. 온라인테스트에서 작성한 코드에 대해서 물어봄 2. MVC패턴을 아는가? 3. 정규화과정은 무엇인가? 4. 컬렉션의 종류는? 5. 컬렉션 종류에서 각각의 특징은? 6. 본인이 남들보다 뛰어난 점은? 7. open source는 사용해 보았는가? 8. 본인이 한 프로젝트는 무엇인가? 9. 본인의 성격의 장단점은? 10. 정렬의 종류를 아십니까? 11. 버블정렬을 손코딩해보세요,C
"1차 기술면접에서는 사용해봤던 기술의 기초 지식이나 DB 반정규화를 왜 하는지, Java 에서 OutOfMemory가 발생했을 때 어떻게 할 것인지등의 질문을 합니다. 2차 CTO면접에서는 대용량의 메모리를 남기는 경우 어떻게 해야하는지 등의 질문을 했는데 자료구조 이론 같은 것을 잘 알고있다면 무난하게 답변할 수 있을거라 생각합니다. 3차는 편하게 진행됩니다. 왜 지원했지는지 등등.. ""1차 기술면접 -> 2차 CTO 면접 -> 3차 써드아이 면접"" 불합격 보통 도움이 돼요 0",C
"실무자면접 : 주로 기술적인 부분에 대한 원론적 질문이 많았음. 문제의 제시, 문제의 해결방법, 그렇게 하면 해결이 되는 이유, 더 나은 방법에 대한 토론 등. 임원면접 : CTO님의 시원시원한 성격 덕에 크게 힘들지는 않았으나, 가끔씩 날카로운 질문을 던질 때가 있음. 기술적인 부분 반, 회사생활 얘기 반. 서드아이 면접 : 가장 힘들었음. 업무가 안 겹쳐서 서로 할 말이 없음....",C
"티몬에 왜 입사지원을 했는가? 하고싶은 일이 뭔가? 실행방안은 어떤것인가? 채용방식 개인면접 발표시기 1일 후 ""채용사이트 이력서를 보고 컨설턴트 회사에서 연락이와 1차 실무면접 진 행 1차 실무면접은 진행했던 프로젝트 위주의 질문들, 편하게 대화하는 분위기 바로 다음날 1차합격 통지 및 2차 CTO 면접 일정 확인 CTO 면접은 CTO님 성격에 따라 급하게 진행됨. 맞게될 업무의 큰그림 및 실무 능력 위주 압박면접 Third eye 면접은 인성이나 조직 문화에 맞는 인원을 선별하는 면접으로 편안한 분위기에서 진행"" BEST 액 3000억원 이상 휴맥스홀딩스(주) 포지션 0개 채용 중 2 코이즈(주) - 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  회사소개 이용약관 개인정보처리방침 커뮤니티가이드라인 모바일 버전 공지사항 광고 및 제휴문의 고객 문의 FAQ | | | | | | | | (주)브레인커머스 서울특별시 강남구 테헤란로 509 엔씨타워 I, 10층 | 대표   황희승, 윤신근 | 개인정보보호관리자   윤신근 사업자등록번호   120-87-92182 | 통신판매업 신고번호   제2014-서울강남-02942호 | 유료 직업소개사업 등록번호   (국내) 제2017-3220163-14-5-00046호 대표번호   1644-5641 (10:00~17:00 / 매월 마지막 금요일 09:00~13:00 / 주말 및 공휴일 휴무) | 대표이메일 : customer_service@jobplanet.co.kr ©Jobplanet. All rights reserved. 63 64 65 66 67",C
"경력직 면접에서 이정도까지 이론위주의 질문을 하는 곳은 처음이었기에 50%정도의 질문이 당황스러 웠음. 물론 자신이 한 프로젝트, 어떻게 해결했는지, 문제사힝 있는지, 그리고 프로젝트 내용에서 약간 파고드 는 면이 있음. ""최초 연락 후 1차 기술면접, 기술면접은 아키텍쳐, 지원팀의 팀장님 2분이 며, 간단한 손코딩 시험이 있음 (신입, 경력 관계없이 다 봄) 아주 기본적인 자료구조 수준의 손코딩임. 2차는 CTO 면접이 먼저 진행되고 CTO 진행되고 나서 인성면접 따로 진행함. CTO가 이번에 새로 왔는데 완벽한 개발자 출신이라 상당히 디테일하게 물어봄. 자신이 한 업무에 대해서 디테일하게 물어보는 수준이 아니라 자신이 사용하는 언 어에 대해서 기초를 아주 잘 알아야함. 기초가 아주아주아주 중요함."" BEST 111퍼센트(주) [111퍼센트] 1인 개발자 모집 경력무관, Unity, 유니티 합격보상 100만원  리디(주) 백엔드 소프트웨어 엔지니어 7 ~ 12년, MYSQL, node.js, go, typescript 합격보상 100만원  (주)피매치 백엔드 경력무관, p 합 액 3000억원 이상 (주)솔루엠 포지션 2개 채용 중 3 엘티삼보(주) - 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스",C
"CTO가 맞은걸 틀리다고 계속 주장했을때가 당황스러워서 멘붕옴. 채용방식 필기시험 발표시기 5일 후 ""1차 기술면접 - 2차 CTO면접 1차 기술면접은 팀장급 개발자 두명이 들어와서 필기테스트 25분 시행 후 시작함. 필기테스트는 간단한 알고리즘 테스트. 어렵지 않음. 2차 CTO면접은 CTO와 센터장이 들어와서 면접 봄. 나 같은 경우는 CTO가 내가 작 성한 1차때 필기테스트를 본인이 헷갈려서 틀리다고 주장하다가 자기가 틀렸다고 인정함. 그러나 내가 다시 설명하다가 잘못말한게 있어서 면접 불합격 된듯. CTO가 이상하게 필기테스트로 꼬투리를 잡기 시작함. 무엇으로 사람을 판별하려는 지 이해할 수 없었음 -_-;;;;"" 불합격 보통 도움이 돼요 1",C
"실무 경력과 관련된 질문과 대답이었기에 예상치 못한 질문은 없었던 것으로 기억합니다. 채용방식 개인면접 발표시기 10일 후 ""경력직 채용이었기 때문에 주요 경력 사항을 가지고 CEO와 직접 면담했었습니다. 1번의 면접으로 합격하였고...바로 경영 지원실장과 연봉 협상을 하게되었습니다. 비교적 수월한 채용이었습니다."" 합격 보통 도움이 돼요 0",C
- java 에서 stream 을 쓰거나 for문을 쓸 수 있는데 뭐가 더 빠른가요? 그리고 그 이유는? - GC가 어떻게 동작하는지 말해주세요. - apache 와 nginx 의 차이점을 아시나요?,C
"1차는 오로지 기술에 대한 면접이였다 경력과 관련된 질문이 아닌 java, spring 지식에 대한 질문이였다 경력면접이라기보단 신입면접 같은 느낌 2차는 CTO와 일대일 면접이였는데 특별한 질문은 없었고 입사해서 해보고 싶은일 정도 물어봤전 것 같다",C
"신입이라 간단한 질문만 받았었습니다. 자바 스프링의 IoC, DI 개념에 대한 질문 컨텍스트 생명주기 JPA 사용 경험",C
"자기소개 프로그래밍의 기초적 질문? 스프링 DI, IOC? 주로 사용한 다자인 패턴? 자바 JVM 설명?",C
IoC DI의 장점이 무엇이냐 TDD에 대해 어떻게 생각하냐 평소 테스트 코드를 많이 짜냐,C
1.사이드 프로젝트에 대한 설계과정 설명 2. 자바 GC의 종류와 GC 튜닝 경험에 대한 질문 3. 쿼리 작성 및 쿼리 최적화,C
1. 프로젝트에 대해서 설명하기 2. 왜 네이버인가 3. CORS를 아는가,C
"- TCP 개념과 역사, 플래그 - 어려웠던 프로젝트 경험담 - 남들이 말하는 자신의 장 단점(요주)",C
1. 개발 했던 앱 의 스토리보드를 그려놓고 설명하기 2. 기본 프레임웍 컨트롤 설명하기 3. 최근 WWDC 에서 관심 있던 이슈,C
"[기술면접 - 개발임원 3인] - 인턴 기간 중 수행한 내용 발표 (화이트보드) - 어려웠던 문제를 해결한 경험 - 최근 새로 배운 기술이 있나 - 어떤 개발자로 성장하고 싶나 - 이를 위해선 어떤 노력을 해야 한다고 생각하나 - 지원한 다른 회사가 있나 [인성면접 - CIC대표 1인] - 프론트와 백엔드, 어떤 포지션을 생각하는지 - 인턴 중 본인이 몇등이라 생각하나 - 커뮤니케이션의 어려움을 어떻게 해결하는 편인가",C
"1. linkedList와 arrayList의 차이 2. 안드로이드 handler, looper, thread 관계 3. GC 동작 원리 4. 자소서에 작성했던 포트폴리오에 대한 심화 질문",C
"현직장에서 전년도 인센티브는 몇 프로나 받았습니까? GC 에 대해 설명해 보시오. 채용방식 개인면접 발표시기 30일 후 ""국내 IT기업 중 인정받는 기업 답게 기술 수준의 기대치가 높음"" 합격 보통 도움이 돼요 1",C
1. In-Memory DB와 Mysql DB와의 차이점은? 왜 그렇게 생각하는가? 2. JAVA GC에 대해 설명해보세요. 3. RabbitMQ가 어떤언어로 만들어졌나요? 4. RESTful이란? 5. QUIC의 원리에 대해서 아는가? 6. GitFlow에 대해서 아는가? 7. 피보나치 수열을 손코딩 하라,C
"프로세스와 쓰레드 차이 인터넷 동작방식 array, poiner 발표시기 30일 후 ""1차 실무진 면접 2차 CTO 면접 전 과정이 기술면접이며 자기소개는 잘 준비할 필요없음"" 합격 긍정적 도움이 돼요 1",C
"작성한 포트폴리오 기준으로 기술면접을 했습니다. 모든 질문은 꼬리질문이었고, 점점 깊은 내용까지 묻게되는 그런 형식이었습니다. 지금 기억나는건 GC의 내부 처리가 가장 기억에 남습니다.",C
"1시간정도 진행하며 손코딩 2~3문제 후 전공 기본지식에 대한 질문을 하는 식으로 진행. 손코딩은 어 렵다기보다 어떻게 구현하는지를 보는 느낌. 전공질문은 대답하면 심화질문을 던지는 꼬리물기식으로 계속 진행. 서버개발 쪽이라 OS, 자료구조 등에 대한 질문이 주를 이루었음. 자신있는 언어를 Java로 적었더니 JVM과 GC에 대한 질문도 받았음. 면접관들은 긴장도 풀어주시면서 매너있게 대해주셨음.",C
QUEUE를 이용해 STACK처럼 사용할 수 있는 알고리즘을 만들어라. CI에 대해 아는가? 테스트 코드는 왜 작성하는가? 사용자의 인터랙션에 영향을 끼치지 않고 클릭 로그를 어떻게 수집할 수 있을까? 일시적으로 몰리는 트래픽은 어떤 식으로 해결할 수 있을까? 그외 7개의 질문이 더 있었음. 기억은 잘 안나네요. 거의 알고리즘 관련 문제였습니다.,C
