question,extracted_terms
1. SKT가 왜 지원자를 뽑아야 하는가? 2. 서비스 기업들이 많은데 왜 SKT를 오고 싶은가? 3. 다른 기업은 어느곳에 지원했나?,서비스
기술적으로 깊이있는 질문을 했는데 특정 서비스의 로우레벨을 물어봤음 서비스 아이디에이션 PT는 어떻게할것인지? 그룹으로 하는 토의질문,서비스
어려운 문제 해결에 대해 접근하는 방법과해결하는 과정 및 코드리뷰,방법
"서류전형 + 코딩테스트 후 실무면접+임원면접 K텔레콤(주) 사의 빠른 소식을 받아보세요! 2 코이즈(주) 8 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  회사소개 이용약관 개인정보처리방침 커뮤니티가이드라인 모바일 버전 공지사항 광고 및 제휴문의 고객 문의 FAQ | | | | | | | | (주)브레인커머스 서울특별시 강남구 테헤란로 509 엔씨타워 I, 10층 | 대표   황희승, 윤신근 | 개인정보보호관리자   윤신근 사업자등록번호   120-87-92182 | 통신판매업 신고번호   제2014-서울강남-02942호 | 유료 직업소개사업 등록번호   (국내) 제2017-3220163-14-5-00046호 대표번호   1644-5641 (10:00~17:00 / 매월 마지막 금요일 09:00~13:00 / 주말 및 공휴일 휴무) | 대표이메일 : customer_service@jobplanet.co.kr ©Jobplanet. All rights reserved. 1 2 3 4 5 면접일자 2019/08 면접경로 온라인 지원","서비스, 버전, 번호, service"
"특정 네트워크 기술에 대해 설명해보시오, 진행했던 프로젝트를 통해 성장한 경험, 운영 시 문제가 생긴 경험",네트워크
장점단점 30개씩말하기 자소서기반질문 용어마다 하나씩 설명하기,기반
해왔던 일에 대해 전체적 구조에 대해 설명하고 그 중 직접 진행한 일에대해 물어봄,구조
"가장 좋아했던 전공과목은 무엇이었나? 좋아했던 사유를 말해주세요 채용방식 인/적성검사, 개인면접 발표시기 30일 후 ""기술,인성 면접을 한번에 진행하였습니다. 이전에 했던 프로젝트에서 수행한 일 위 주로 질답하였습니다."" 합격 긍정적 신입공채 채용 판도 뒤바꾼 SKT…”오히려 좋 아” [인터뷰] SK텔레콤 광고사업팀 김유민님, Ranker팀 김태 현님 찐친부터 가족까지 입사시키고 싶은 이 회 사, 비결은? 찐으로 ‘좋아요’ 꾸욱 누르게 만드는 SKT 구성원 리뷰 모 음.zip K텔레콤(주) 사의 빠른 소식을 받아보세요! 2 코이즈(주) 8 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  신고하기 도움이 돼요 0",서비스
현재 개발하고 있는 모듈의 구조나 배경지식들을 주로 물어보았습니다.,구조
"하루종일 약 6개?의 면접을 보는 원데이 면접이라 체력적으로나 정신적으로나 매 우 힘들다 K텔레콤(주) 사의 빠른 소식을 받아보세요! 2 코이즈(주) 8 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  회사소개 이용약관 개인정보처리방침 커뮤니티가이드라인 모바일 버전 공지사항 광고 및 제휴문의 고객 문의 FAQ | | | | | | | | (주)브레인커머스 서울특별시 강남구 테헤란로 509 엔씨타워 I, 10층 | 대표   황희승, 윤신근 | 개인정보보호관리자   윤신근 사업자등록번호   120-87-92182 | 통신판매업 신고번호   제2014-서울강남-02942호 | 유료 직업소개사업 등록번호   (국내) 제2017-3220163-14-5-00046호 대표번호   1644-5641 (10:00~17:00 / 매월 마지막 금요일 09:00~13:00 / 주말 및 공휴일 휴무) | 대표이메일 : customer_service@jobplanet.co.kr ©Jobplanet. All rights reserved. 4 5 6 7 8 2018/05 면접경로 공개채용","서비스, 버전, 번호, service"
