question,subjects
그룹끼리 협동하여 도전하는 모습을 보여줘야하는 과제들이 굉장히 많이 출제됨,{}
딱히 기술적인 질문 중에 기억나는 건 없고 대부분 간단한 기술 질문 이었기 때문에 어렵지 않앗습니다,{}
"그동안의 이직 사유, 기억에 남는 프로젝트, 입사하면 하고 싶은 일",{}
우리 회사 (팀 관련)제품을 사용해봤는지? 어떻게 생각하는지?,{}
"1. 지금까지 해온 일과 다른 분야에 지원한 이유. 2. 해왔던 일 중에 어려웠던 점, 새로운 점. 3. 과제를 어떻게 해결했는지 설명",{}
우리 회사에 입사해야 하는 이유는? 우리 회사에 대해 아는 게 어느 정도?,{}
1차면접에서 먼저 자신의 경력 위주의 내용을 PT로 발표 후 본인 경력 위주의 해온 기술적인 경험을 구체적으로 질문과 답변이 오고감. 2차 면접은 아직 1차 결과 대기중임.,{}
자신이 그동안 해왔던 실무 경험을 상세히 설명해주세요.,{}
가장 힘들었던 순간은 언제인가요? 동료와 트러블 경험은?,{}
자소서에 작성된 경험들이 지원한 직무와는 거리가 멀어보인다. 제대로 작성한 것이 맞나? 개인 PT 및 그룹 PT 질문 등등,{}
이 면접에 합격할 것 같은지? 지금까지 제일 잘했다고 생각한일,{}
1. 프로젝트에 내가 직접적으로 기여한 부분은 어느정도인지? 2. 회사에 들어와서 기대하고 있는 것 혹은 하고 싶은 프로젝트? 3. 그 동안 일하면서 가장 힘들었던 점?,{}
"성격의 장 단점 팀으로 일할때 경험 계획한대로 일이 안풀렸을때 하는 일 발표시기 30일 후 ""인적성 자격증 물어보고 자소서에 적힌 경험을 중심으로 물어봄"" 합격 보통 도움이 돼요 0",{}
(이력서에 적은 기술) 이거 PT에는 없던데 언제 썼는지?,{}
1. 자신이 하는 업무와 관련된 기술에 관련된 대략적인 내용 2. 자신이 진행해 보았떤 대표적인 프로젝트,{}
하고 싶지 않은 일을 시켰을때 어떻게 할 것인가? 대부분 기술에 대한 질문이었음,{}
장애인을 위한 교통 앱을 만들었기 때문에 그와 관련된 구체적인 방향성에 대해 많은 질문을 하셨습니 다.,{}
이직 사유. 현재 맡고 있는 프로젝트. 앞으로의 포부. 개인의 역량.,{}
회사에서 개발해야 하는 것들에 대한 아웃소싱에 대해 어떻게 생각하는가?,{}
현재 하고 있는 프로젝트에 대한 설명,{}
"내용은 대부분 이전 회사에서 했었던 업무에 대한 질문이었고, 대체로 평이했으며 구체적,전문적, 실무적 수준의 질문을 할 수 있는 면접관은 없었습니다. 본인의 경력 과 경험기술에 대해 실무자들은 대단히 만족하는듯 보였으나 임원면접에서 해당 회 사에 대한 강한 로열티를 드러내지 않았던 것이 불합격 원인으로 생각됩니다."" 불합격 보통 도움이 돼요 3",{}
5G와 관련하여 아는 사항에 대해 말해보시오. 로라와 NBiot의 기술적 차이점에 대해 말해보시오.,{}
기존직장해서 진행했던 업무내용. 입사할 부서에서 어떤일을 하고 있는지 알고 있는지.왜 이직하고자 하는지,{}
"기술과 관련된 질문 이 주를 이뤘고, 갈등발생시 해결방안 유관부서 협업",{}
엄청 압박면접이 심했습니다. 중학교때 농구대회 우승을 했었는데 팀은 몇명이엿냐 총 몇번해서 우승 을했냐 식으로 꼬리물기가 계속 이어졌습니다.,{}
"과제도 있었고, 기술면접을 진행 했습니다.",{}
"전 직장에서 맡았던 일은? , 퇴사이유? 채용방식 개인면접 발표시기 7일 후 ""면접분위기는 굉장히 딱딱했고 면접은 꼼꼼히 준비하더라도 생각지 못한 질문이 나올수있습니다."" 불합격 보통 도움이 돼요 0",{}
에스케이로의 이직 사유는 무엇인가요? 구체적으로 대답해주세요,{}
간단한 자기 소개 후 이전 프로젝트에 대해 질문,{}
"기술PT면접, HR면접, 팀장면접의 세가지 면접과 3가지 다른 방식의 토론면접. 원데이 면접이지만 하루에 총 6개의 면접을 보는셈.",{}
"해당 포지션에 대한 경험, 자신이 가장 자신있는 부분(개발에 있어서) 등을 물어봄",{}
조직활동을 하면서 갈등이 있었는지 있다면 어떻게 해결했는지,{}
실무면접의 경우 이전회사에서 한 경력을 중심으로 진행되고 거기서 질문들이 파생된다.,{}
전공지식 살면서 경험 여려가지 난해하고도 힘든것들을 질문받음.,{}
최근 5년간 했던 프로젝트는? 그리고 설명해주세요,{}
인생에서 혁신을 이루기 위해 햇던경험에 대해 말해보세요,{}
지금까지 살아오면서 조직활동을 통해 어려움을 겪은 경험에 대해 말하라.,{}
전공 관련 시험 (90분) 팀별 협상 진행 (그룹 토론) 보고서 작성 기획서 작성 개인 면접,{}
업무용어에대한 구체적 설명을 원하시는 질문이 많았고 압박질문이 많았음,{}
"자기소개를 사물에 비유하여 해보라는 식의 창의성을 물어보는질문 채용방식 필기시험, 인/적성검사, 그룹면접, 기타 발표시기 7일 후 ""그냥 많이어려웠던것같고 1박2일동안 긴장됬지만 여러가지 면접햇기때문에 어느 정도보여줄건 다보여주었다"" 합격 보통 도움이 돼요 1",{}
조별주제 과에서 한일 책임감을 물어보셨습니다.,{}
진행한 프로젝터는? SW 개발 능력은?,{}
이제까지 오면서 성취하기 가장 어려웠던 일. 왜 어려웠는지. 자신의 구체적인 역할이 무엇이었는지.,{}
자기소개 가장 행복했던 경험 학업 이외의 활동 마지막 한마디,{}
에스케이텔레콤의 미래 성장 전략에 대해 그룹 토론을 통해 답변을 도출하라.,{}
자신이 노력한 부분 혹은 SK텔레콤의 기술,{}
"대체로 자소서 중심으로 지원동기, 비전, 장/단점 등 무난한 질문 위주임. 면접관에 따라 창의적인 질문 하는 경우 있으나, 비상식적 질문은 하지 않음.",{}
현재 직장이서 에스케이텔레콤으로 이직하는 이유는 무엇인지 이야기해보세요,{}
코드 에 대한 설명 요청 받음 Agile 개발 경험 요청,{}
"이전 직장에서의 업무 수준이 그다지 높아 보이지 않는데, 구체적으로 어떤 업무를 해왔는가?",{}
학창시절 말고 최근에 도전한 경험이 있나요?,{}
지원이유와 역령이 본 화사에 기여할수 있는 부분이 무엇인가 입사해서 무엇을 하고 싶은가 마지막 하고 싶은 말은,{}
SKT 월간 SMS발생 건수는?,{}
다양한 형식의 팀별과제에서 현재 이시각 일어나고 있는 통화의 건수는?,{}
"경력사원으로서 필요한 질문들, 이전 부서,자신의 역할, 참여했던 프로젝트에서 어떤 일을 맡았고 어떤 개선을 이루었는지 그 근거는 무엇이었는지에 대해 질문이 있었고 이에대한 심층질문이 이어졌습니다. 채용방식 개인면접 발표시기 5일 후 ""온라인 이력서 제출후 다음주에 전화연락으로 면접일정을 통보받았고 본사사옥에 서 실무자와 함께 이전 실무 경험에 대한 질문을 받았습니다."" 대기중 보통 도움이 돼요 0",{}
왜 개발자하려고 하는가?,{}
"기술관련 질문, 개발에 대한 질문을 상세흐ㅏ게 이야기하지는 않았음.",{}
프로젝트별로 상세하게 물어봄 솔직하게 진행했던 내용을 설명 하면 됨,{}
