question,extracted_terms
"진행했던 프로젝트에 대해 처음부터 종료시 까지 수행 업무 설명 진행하면서 힘들었던 점, 해당 프로젝트 중 특별히 고민을 많이 한 부분 또는 주요 알고리즘에 대한 간 단한 설명",알고리즘
그룹 면접 1. 4:4로 나누어 자료(팀별로 다른 자료와 다른 점수표)를 제공후 협상을 진행 협상 결과에 따른 점수판 정 2. Shadow IT의 해결방안 도출 3. 주어진 자료를 보고 새로운 사업 아이템 제시 개별면접 1. 자기소개서 기반 면접 2. 알고리즘 문제 6개? 주로 정렬과 관련된 알고리즘 3. 테스트 (정보처리 기사 수준?),알고리즘
"네트워크.데이터베이스.알고리즘 손코딩.현안토론 및 대안모색.논리서술.요금제관련질문.iot플랫폼 및 최신기술 동향에 대한 주제 채용방식 필기시험, 인/적성검사, 스킬테스트, 논술 시험, 케이스 면접, PT면접, 그룹면접, 토론면접, 개인면접 발표시기 30일 후 ""1박2일로 진행 이틀동안 열가지넘는 테스트를 진행한다. 10명이 한팀으로 진행하고 다시 5명씩 쪼개서 토론하기도 하고 합쳐서 토론하기도 한다. 주로 에스케이텔레콤 현안에 대해서 대안을 모색하는 과제가 주를 이룬다. 개인테스트도 진행하는데 전산학지식 및 손코딩이나 논리문제가 제출된다. 마지막날 개인면담을 수행하는데 주로 진행했던 프로젝트 위주로 물어본다."" 신입공채 채용 판도 뒤바꾼 SKT…”오히려 좋 아” [인터뷰] SK텔레콤 광고사업팀 김유민님, Ranker팀 김태 현님 찐친부터 가족까지 입사시키고 싶은 이 회 사, 비결은? 찐으로 ‘좋아요’ 꾸욱 누르게 만드는 SKT 구성원 리뷰 모 음.zip K텔레콤(주) 사의 빠른 소식을 받아보세요! 3 엘티삼보(주) 1 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스",알고리즘
기본적인 알고리즘에 대해. 스레드 세이프에 대해 알고있는가. 기타 현재 직무에 대해,알고리즘
"무엇을 했는가?에 대해서 디테일하게 물어봅니다. 경력 이직이 처음이라서 준비를 제대로 하지 못했던 점이 아쉽네요. 상당히 기술적인 것을 설명해줘야 할 듯 합니다. 어떤 알고리즘을 써서 개발했냐? 이런거 없냐? 라는 질문을 받았는데 그 때, 저는 내가 구현한 사항을 말하면 안될 것 같아서 세세히 말하지 않았습니다. 대충 ""이만큼 했다."" 라고만 했죠. 떨어진 이유가 여기에 있는 것 같아요. 기타 질문은 이직을 왜 하려하냐?, 제일 잘하는게 뭐냐? 라는 등등이었습니다. 제 면접 역사상 최악의 면접이었네요..ㅜㅜ 채용방식 개인면접 ""실무면접만 보고 떨어졌네요. 우선 온라인 지원 후, 전화가 왔습니다. 그리고 면접 날짜 잡고, 면접을 보러 을지로로 갔습니다. 면접의 내용은 그냥 평범했습니다. 아무래도 면접관이 개발자이지만 주로 외주개발을 많이 하기에 깊은 지식은 없었던 것 같네요. 저도 마찬가지였던 것 같구요."" 불합격 보통 도움이 돼요 5",알고리즘
크게 없었고 어려운 알고리즘 문제 또한 나오지 않았음 간단한편,알고리즘
대학때 진행했던 프로젝트 회사에 대한 질문 자바 알고리즘에 대한 간단한 질의,알고리즘
"자기소개 (지원동기, 장단점) String과 StringBuffer 차이점 Map과 Hashmap의 차이점 오버라이딩의 추상적 개념 데이터 캡슐화 설명하기 최근 이슈되는 웹 보안 할 수 있는 방법 좋은 개발자란 어떤것인가? RDBMS에서 JOIN의 종류와 각각의 특징 설명하기 HTML의 구조 주어진 특징을 CSS로 적기 주어진 테이블을 보고 쿼리 만들기 Paging클래스 알고리즘 만들기 (게시판 블록사이즈, 페이지사이즈) i++ + ++j =? (i=5, j=6) •int main() { int i, n = 20; for (i = 0; i < n; i--) printf(""*""); return 0; } 여기서 한문자만 고쳐서(삭제,추가 불허) * 문자를 20번 출력하게 하시오 채용방식 그룹면접 발표시기 3일 후 ""최대한 자세하게 작성해주세요. 최초 연락부터 인터뷰 횟수, 분위기, 면접관의 특 징, 면접 팁 등 1. 서류면접을 합격했으니 내일 면접볼 수 있냐고 해서 다음날 면접 봄. 2. 오자마자 간단한 기술 테스트를 봄 3. 면접을 대기하다가 다대다 면접을 봄 4. 전체적으로 딱딱한 분위기는 아니나 30분 걸림"" 불합격 부정적 도움이 돼요 5",알고리즘
"경력이였기 때문에 내 경력을 보고 질문을 하였기때문에 어려웠던 질문은 없었다고 생각이 듭니다. 채용방식 필기시험, 개인면접 발표시기 3일 후 ""경력으로 면접을 보러 갔습니다. 막상 대기시간에 10분인가 ~20분내에 필기시험 을 봅니다. 생각지 못했습니다. 간단한 문제도 있지만 알고리즘이나 패턴의 문제도 나왔습니다. 그리고 곧바로 면 접에 들어갔습니다. 문제를 잘 맞추어서 저보고 어디 보고 왔냐고 물어보았지만 시험보는 것부터 깜짝 놀랐다고 이야기하였고 그뒤로 그냥 편하게 이야기를 나누었고 곧 연락이 왔습니다."" 합격 보통 도움이 돼요 0",알고리즘
알고리즘에 대해 설명하세요 UI가 그려지는 과정을 설명하세요 특정 함수에 대해 설명하세요,알고리즘
전반적인 지식을 요구하고 알고리즘은 타회사에 비하면 어렵지않았다,알고리즘
1. 해당 분야를 선택하게 된 이유. 2. 알고리즘 3. 사용언어의 기반이 되는 지식,알고리즘
"주로 자소서 기반으로 학생때 했던 프로젝트 위주로 물어봤습니다. 서버는 뭐를 기준으로 설계했냐? 조별 과제하면서 어려웠던 점. os및 네트워크 지식과 알고리즘, 자료구조에 대해 물어봤습니다.",알고리즘
"손코딩은 간단한 알고리즘 문제가 나옴. 교집합. 비트연산. 요구사항에 맞는 리스트 만들기 기술 질문은 직무에 관련된 기술에 대해 세세하게 물어보는 편. 단순하게 사용해본 프레임워크나 MVC, IoC, AOP 등에 대해 아는 것을 설명해 달라고도 함. 사용해본 데이터베이스의 차이점이나 장점 등도 질문함.",알고리즘
"프로그래밍 기본 역량, 모바일 OS플랫폼 기본 지식, 네트워크 기본 지식, 알고리즘 기본 역량, 기타 개인 프로필",알고리즘
왜 엔에이치엔이나 카카오를 안가고 티몬에 면접을 왔는지를 처음 물어봅니다. 이후 손코딩한것에 대한 알고리즘관련 질문을 합니다. 그리고 경력관련하여 티몬에서 할일과 관련이 있는부분이 무엇인지 질문합니다.,알고리즘
"1차 면접에서는 웹과 기본 프로그래밍에 대한 용어들을 말로 설명할 수 있으면 되고, 2차 면접에서는 알고리즘과 자료구조에 대한 질문이 주를 이룸.",알고리즘
"1차 : 프로젝트 관련 - 함수형 프로그래밍을 쓰는 이유, 메모리 관련 라이프사이클, 자바 8의 변경 사항 등 지원서와 관련된 내용을 주로 물어봄 2차 : 복잡도, 기초 자료구조 및 알고리즘을 회사 문제에 적용하는 방법, 상황에 맞는 설계",알고리즘
oop란 oop의 3대조건 interface와 추상화 클래스 virtual 키워드 오버라이드와 오버로딩 프로젝트 질문 퀵소트 빅오 다형성 c언어 int와 자바의 int 차이점 다익스트라 알고리즘,알고리즘
"문제지를 주면서 시간 많이는 못주고 15분~20분 내로 풀어보라고 시킴. 문제가 대략 자료형 정확히아 는지 상속관계 정확히 아는지 에러 캐치할수있는지 정도 보는 손코딩용 문제였던거같음. 문제풀고 궁 굼하거 물어보는데 알고리즘과 개발언어 심층적으로 알고있나를 중점적으로 보는것같음. 채용방식 필기시험, 스킬테스트, 케이스 면접 발표시기 3일 후 ""이력서 제출후 한달정도 걸려서 연락옴. 인터뷰 날짜는 면접자 위주로 맞춰주는편. 티몬 본사는 꾀 찾기 힘듬 건물 전체가 티몬 건물은 아님"" 불합격 보통 도움이 돼요 0",알고리즘
"손 코딩이 있고 자바의 기본 적인 부분과 dbms, 알고리즘, 프레임워크등에 대해서 광범위하게 질문하 였습니다",알고리즘
기술면접인지라 기초적 질문같지만 막상 모르고 있으면 대답을 못하는 질문들이었습니다. 평소 꾸준히 프로토콜 알고리즘에 대해 공부하셔야 합니다,알고리즘
"온라인테스트로 진행했던것에 관해 어필하고싶은 부분을 보드판에 그리면서 설명해라??(문제도 다시 보여주지 않고 무작정 내가 만들었던 부분을 보드판으로 설명하라는데...ClassDiagram을 그리라는건 지...손코딩을 하라는건지...자꾸 내가 만든것을 그려보라고하는데 문제라도 다시 보여주던가..좀 많이 당황스러웠음...2:1의 면접이었는데 한분은 한마디는 커녕 쳐다보지도 않으심;;) 신입은 손코딩과 알고리즘, 자료구조 등 언어에 대한 기본을 많이 보는걸로 알고있었는데...트집을 잡아 서 난이도있는 질문만 계속함;; (Interface는 무엇이고, 어떻게 사용하는가? Servlet과 Spring이 어떻게 동작하는지...Servlet이 멀티 쓰레딩에 안전할까?) 기술과는 별도의 인성에 관련된 질문도함..(어떠한 개발자가 되고싶은가? 최근 읽었던 책에서 기억에 나는 내용은?)",알고리즘
"정렬 알고리즘, DB 질문",알고리즘
IT관련 알고리즘과 코드에 관해 질문했는데 그부분이 어려웠습니다.,알고리즘
