question,extracted_terms
전화면접을 봤는데 기본적인 소프트웨어 공학 및 스프링 구조같은 내용하고 전체적인 아키텍처 설계같 은 문제를 물어봤어요,소프트웨어 공학
대학때 했던 과제를 소프트웨어 공학의 방법론 중 하나로 예를 들어 설명,소프트웨어 공학
자바에 대해서 기술면접위주로 물어봄 이외에 소프트웨어 공학의 TDD 개념들 물어봄,소프트웨어 공학
소프트웨어 공학에 관련된 질문 성격에 관련된 질문,소프트웨어 공학
"소프트웨어 공학에서 설명하고 싶은 한가지를 골라 설명해보시오 취미에 대해서 물어보심 준비한 자기소개보다 진정성있는 말을 원하심ㅇㅅㅇ ""지원하고 한달반 지나서 메일옴 면접관은 5분이시고 인사담당자, 관련직무분, 글로벌팀 등 다양하심"" 액 3000억원 이상 대원씨티에스(주) 포지션 0개 채용 중 2 엘티삼보(주) 1 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  회사소개 이용약관 개인정보처리방침 커뮤니티가이드라인 모바일 버전 공지사항 광고 및 제휴문의 고객 문의 FAQ | | | | | | | | (주)브레인커머스 서울특별시 강남구 테헤란로 509 엔씨타워 I, 10층 | 대표   황희승, 윤신근 | 개인정보보호관리자   윤신근 사업자등록번호   120-87-92182 | 통신판매업 신고번호   제2014-서울강남-02942호 | 유료 직업소개사업 등록번호   (국내) 제2017-3220163-14-5-00046호 대표번호   1644-5641 (10:00~17:00 / 매월 마지막 금요일 09:00~13:00 / 주말 및 공휴일 휴무) | 대표이메일 : customer_service@jobplanet.co.kr 61 62 63 64 65",소프트웨어 공학
소프트웨어 공학 용어들을 말하는데 알아듣기 어려웠음..,소프트웨어 공학
소프트웨어 공학이란? 어플리케이션의 순환주기 앱과 어플리케이션 차이 배운 과목들은? 졸업작품에 대한 설명 자신의 장단점 졸업작품에 적용된 알고리즘에 대한 설명,소프트웨어 공학
"우선 각 사업부문(Cloud, ITS, Service, Solution)의 팀장님들이 지원자들의 자기소개서를 읽고 면접 대상자를 고릅니다. (한명이 여러부분의 면접을 볼수도 있습니다) 면접질문 난이도는 대체로 평이한 편이며, 자소서 위주 및 인성 질문을 많이하십니다. 저같은 경우에는 소프트웨어 공학, 자소서 내용, 인성 질문을 받았습니다. 1.개발 과정에서 어떤 부분이 가장 중요하다고 생각하는가 2.프로젝트에서 어떤부분을 담당하였는가 3.취미는 무엇이냐 등... 4.ITS의 경우에는 증권에 대해 아냐고 질문 하셧습니다.",소프트웨어 공학
"포트폴이오 낸 것과 소프트웨어 전공 지식 전반에 걸쳐 물어보셨습니다. 소프트웨어 공학, DB, 자바 등..",소프트웨어 공학
"데이터베이스, 프로그래밍 일반, 소프트웨어 공학, 네트워크 등에 대한 전반적인 지식을 묻는 문제였습 니다.",소프트웨어 공학
"면접관3 지원자1의 3:1 방식이었고 반압박적인 면접이었습니다. 기술필기시험을 먼저 치루고 면접장에 들어갔으며 질문은 인성을 굉장히 꼼꼼히 체크하셨고, 기술적인 직무는 아는지 모르는지 였습니다. 전공 소프트웨어 공학 관련 질문이 대다수 였습니다.",소프트웨어 공학
