question,extracted_terms
C#과 C++ OpenCV java는 어떤 관계가 있나요? 객체지향 이란?,OpenCV
"가장 좋아했던 전공과목은 무엇이었나? 좋아했던 사유를 말해주세요 채용방식 인/적성검사, 개인면접 발표시기 30일 후 ""기술,인성 면접을 한번에 진행하였습니다. 이전에 했던 프로젝트에서 수행한 일 위 주로 질답하였습니다."" 합격 긍정적 신입공채 채용 판도 뒤바꾼 SKT…”오히려 좋 아” [인터뷰] SK텔레콤 광고사업팀 김유민님, Ranker팀 김태 현님 찐친부터 가족까지 입사시키고 싶은 이 회 사, 비결은? 찐으로 ‘좋아요’ 꾸욱 누르게 만드는 SKT 구성원 리뷰 모 음.zip K텔레콤(주) 사의 빠른 소식을 받아보세요! 2 코이즈(주) 8 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  신고하기 도움이 돼요 0",zip
현재 개발하고 있는 모듈의 구조나 배경지식들을 주로 물어보았습니다.,모듈
"나옵니다"" 합격 보통 신입공채 채용 판도 뒤바꾼 SKT…”오히려 좋 아” [인터뷰] SK텔레콤 광고사업팀 김유민님, Ranker팀 김태 현님 찐친부터 가족까지 입사시키고 싶은 이 회 사, 비결은? 찐으로 ‘좋아요’ 꾸욱 누르게 만드는 SKT 구성원 리뷰 모 음.zip K텔레콤(주) 사의 빠른 소식을 받아보세요! 3 엘티삼보(주) 1 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  신고하기 도움이 돼요 0",zip
"개인 별 질문이 진행되었습니다. 전체적으로 경력 사항을 쭉 물어보았고, 모집 공고가 다소 추상적으로 적혀있었기 때문에, 구체적으로 제가 사전에 질문에 대한 타겟팅을 정확하게 하지 못했습니다. (경력은 조금 맞지 않아도 열정이 있는 사람을 뽑겠다는 다소 추상적인 문구) 포트폴리오를 제출했었는데, 내용이 약자가 많고 어렵다는 얘기를 들었습니다.",사전
통신사업분야에 대한 경험을 물었으나 해당 분야는 전무하여 이 부분에 대한 답변이 제일 난해함(서류 에서 미리 걸렀으면). openstack 운영 경험 많이 물어 봄.,open
경력 위주의 짧은 자기소개 memory leak multi thread asynctask의 문제점 주소록 검색 logic 설계 경험담 풀이,mul
"기존에 해왔던 개발업무에 대한 설명 자료구조 관련 질문, 간단한 손코딩 앱개발시 이용하는 기본 API에 대한 이해도를 보기위한 질믄 채용방식 개인면접 발표시기 30일 후 ""실제 개발을하고있는 분들이 면접관이어서 좋았다 깊이있는 실무 얘기를 할 수 있 었다."" 신입공채 채용 판도 뒤바꾼 SKT…”오히려 좋 아” [인터뷰] SK텔레콤 광고사업팀 김유민님, Ranker팀 김태 현님 찐친부터 가족까지 입사시키고 싶은 이 회 사, 비결은? 찐으로 ‘좋아요’ 꾸욱 누르게 만드는 SKT 구성원 리뷰 모 음.zip K텔레콤(주) 사의 빠른 소식을 받아보세요! 2 코이즈(주) 8 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스",zip
"유니코드, 네트워크, 커널 등 심도있는 질문을 합니다 개념정도로는 택도 없더라구요 연구와 개발 중 연구하는 인력을 선호하는걸 느꼇어요",커널
"네트워크.데이터베이스.알고리즘 손코딩.현안토론 및 대안모색.논리서술.요금제관련질문.iot플랫폼 및 최신기술 동향에 대한 주제 채용방식 필기시험, 인/적성검사, 스킬테스트, 논술 시험, 케이스 면접, PT면접, 그룹면접, 토론면접, 개인면접 발표시기 30일 후 ""1박2일로 진행 이틀동안 열가지넘는 테스트를 진행한다. 10명이 한팀으로 진행하고 다시 5명씩 쪼개서 토론하기도 하고 합쳐서 토론하기도 한다. 주로 에스케이텔레콤 현안에 대해서 대안을 모색하는 과제가 주를 이룬다. 개인테스트도 진행하는데 전산학지식 및 손코딩이나 논리문제가 제출된다. 마지막날 개인면담을 수행하는데 주로 진행했던 프로젝트 위주로 물어본다."" 신입공채 채용 판도 뒤바꾼 SKT…”오히려 좋 아” [인터뷰] SK텔레콤 광고사업팀 김유민님, Ranker팀 김태 현님 찐친부터 가족까지 입사시키고 싶은 이 회 사, 비결은? 찐으로 ‘좋아요’ 꾸욱 누르게 만드는 SKT 구성원 리뷰 모 음.zip K텔레콤(주) 사의 빠른 소식을 받아보세요! 3 엘티삼보(주) 1 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스",zip
"SK텔레콤의 서비스 중 개선하고 싶은 부분이 있다면 어떤 것이있는가? 채용방식 필기시험, 인/적성검사, 그룹 프로젝트, 케이스 면접, PT면접, 그룹면접, 토론면접, 워크숍 발표시기 15일 후 ""신입 공채였으며 면접은 크게 두 단계로 합숙 집합면접, 임원면접이 있었고 집합면 접에서는 직무관련 단체면접 및 토론면접, 프레젠테이션이 있었습니다. 입사한지 5 년이 넘어 과정이 바뀌었을수도 있습니다."" 합격 긍정적 도움이 돼요 0",집합
"1)진행했던 프로젝트를 설명하되, 실제로 컴파일하고 실행하는 모습을 보여주십시오 2)관련경력 관련 기술이 어떠한것이 있는데 아는데로 설명바랍니다. 3)진행했던 프로젝트의 본인의 역활에 대해 설명바랍니다",실행
"수학 문제가 조금 어렵고 나머지는 생각했던것 보다 쉬움. 채용방식 필기시험, 인/적성검사, 영어면접, 개인면접, 기타 발표시기 50일 후 ""상사든 임원이든 계급이 다른데도 불구하고 다른 회사보다 평등함"" 합격 긍정적 신입공채 채용 판도 뒤바꾼 SKT…”오히려 좋 아” [인터뷰] SK텔레콤 광고사업팀 김유민님, Ranker팀 김태 현님 찐친부터 가족까지 입사시키고 싶은 이 회 사, 비결은? 찐으로 ‘좋아요’ 꾸욱 누르게 만드는 SKT 구성원 리뷰 모 음.zip K텔레콤(주) 사의 빠른 소식을 받아보세요! 2 코이즈(주) 8 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  신고하기 도움이 돼요 0",zip
"Carrier Aggregation, Multi Carrier는 이미 상용화가 되어있다. CA, MC 이외의 방법은 뭐가 있나? 포트포워딩, IP , NAT에 관한 질문이 나왔습니다. 채용방식 인/적성검사, PT면접, 개인면접 발표시기 30일 후 ""서류전형 - SKCT - 1차 면접 - 2차 면접"" 불합격 보통 도움이 돼요 0",at
"기술면접 중 was에 대한 장단점 설명이 있었음. Was 종류 및 기능에 대핫 사전 연구가 필요 채용방식 인/적성검사, PT면접, 그룹면접 발표시기 10일 후 ""1차 면접은 기술면접.. 주제가 주어지고 한시간동안 발표를 준비해서 면접관들 앞에서 발표진행~ 기술적인 질문이 있었으나 그다지 압박은 아님 2차는 인성면접.. 회사 생활 및 각오에 대한 소신을 밝히고 좋은 분위기로 마무리됨..."" 합격 긍정적 K텔레콤(주) 사의 빠른 소식을 받아보세요! 2 코이즈(주) 8 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  회사소개 이용약관 개인정보처리방침 커뮤니티가이드라인 모바일 버전 공지사항 광고 및 제휴문의 고객 문의 FAQ | | | | | | | | (주)브레인커머스 서울특별시 강남구 테헤란로 509 엔씨타워 I, 10층 | 대표   황희승, 윤신근 | 개인정보보호관리자   윤신근 사업자등록번호   120-87-92182 | 통신판매업 신고번호   제2014-서울강남-02942호 | 유료 직업소개사업 등록번호   (국내) 제2017-3220163-14-5-00046호 대표번호   1644-5641 (10:00~17:00 / 매월 마지막 금요일 09:00~13:00 / 주말 및 공휴일 휴무) | 대표이메일 : customer_service@jobplanet.co.kr ©Jobplanet. All rights reserved. 32 33 34 35 36 신고하기 도움이 돼요 1",사전
