question,extracted_terms
"직무면접(40분) - 모든 질문이 자기소개서에 철저하게 기반되었습니다. 자기소개서 적은 내용을 철저하게 검증하고, 분석하고, 재질문하면서 준비하면 될 것 같아요. HR면접(20분) - 자신의 라이프 사이클 그리고 설명하기 라이프 사이클에 나온 관련 질문들 전공을 선택한 이유? 복전 이유? 왜 SK텔레콤인가?(지원동기) PT(40분), 토의(70,70,80분 총3개)는 현업자 수준으로 매우어려웠습니다만, 문제해결능력을 엿보시려 는것 같았습니다. 저는 PT주제는 전부 모르는 주제만 나왔고, 지문에 근거해서 풀었습니다. 그렇기 때문에 상당히 허접한 답변이 나왔습니다. 다만, 왜 그런 답이 나왔는지 근거에 대해서 열심히 생각했고 얘기를 했습니다. PT 는 40분 준비, 20분 발표입니다. 하지만 5분미만으로 발표하고(내용이 없으니 발표도 짧았네요 ㅠㅠ) 질문받았습니다.",재질
그룹 면접 1. 4:4로 나누어 자료(팀별로 다른 자료와 다른 점수표)를 제공후 협상을 진행 협상 결과에 따른 점수판 정 2. Shadow IT의 해결방안 도출 3. 주어진 자료를 보고 새로운 사업 아이템 제시 개별면접 1. 자기소개서 기반 면접 2. 알고리즘 문제 6개? 주로 정렬과 관련된 알고리즘 3. 테스트 (정보처리 기사 수준?),Shadow
"기존에 해왔던 개발업무에 대한 설명 자료구조 관련 질문, 간단한 손코딩 앱개발시 이용하는 기본 API에 대한 이해도를 보기위한 질믄 채용방식 개인면접 발표시기 30일 후 ""실제 개발을하고있는 분들이 면접관이어서 좋았다 깊이있는 실무 얘기를 할 수 있 었다."" 신입공채 채용 판도 뒤바꾼 SKT…”오히려 좋 아” [인터뷰] SK텔레콤 광고사업팀 김유민님, Ranker팀 김태 현님 찐친부터 가족까지 입사시키고 싶은 이 회 사, 비결은? 찐으로 ‘좋아요’ 꾸욱 누르게 만드는 SKT 구성원 리뷰 모 음.zip K텔레콤(주) 사의 빠른 소식을 받아보세요! 2 코이즈(주) 8 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스",API
"중간에 보드게임 비슷한걸 하는데 이게 제일 어려웠습니다. ""합숙으로 진행됩니다. 여러가지 활동을 많이 하고 모든 활동에 점수가 매겨집니다. 처음보는 사람들과 바로 토론을 시작해야하는 상황이 벌어집니다. 모두들 공격적으 로 토론에 임하기 때문에 이성을 잃지 않는것이 중요합니다."" 합격 정보없음 도움이 돼요 1",게임
"1차 개별 실무진 면접에서 전혀 예측치 못한 문제가 제시되었기에 어려움이 있었음. (OO기업이 있는데, 이 기업에게 우리 회사의 사업기회를 한번 제안한다고 가정하고 발표해봐라. 이런 식) ""1차 면접은 합숙으로 1박2일간 진행되었고, 개인발표 - 토론 - 팀발표 -돌발상황 해결(팀 멤버 교체로 인한 발표인원 변경 등) - 협상게임 - 개별 실무진 면접으로 진행되었습니다. 2차 면접은 임원면접으로 자유로운 분위기에서 3(면접관) 대 1(지원자)의 형태로 이루어 졌습니다."" 합격 정보없음 도움이 돼요 1",게임
"사용했던 프레임워크의 기술적인 질문들이라 어렵진 않았습니다~~~ 채용방식 스킬테스트, 개인면접 발표시기 30일 후 ""기존에 해왔던 실무지식관련 질문위주 그러나 팀바팀이기 때문에 예상할수는 없을 듯"" 합격 보통 도움이 돼요 1",프레임
"이전 경력, 본인만의 개발 우선 순위(기술적 능력, 동료 친화력 등 무엇이 1순위인지), 그 외 자바 기술 질문( REST API 란 무엇인가, 접근제한자, sql 질문 약간 등)",API
"프레임워크 사용 경험여부, 사용 언어 버전, 퇴사 사유",프레임
1. 대학생활때 어떻게 지냈는가 2. 지원동기 3. 프레임워크에 대한 생각 4. DB쿼리에 대한 질문 등등,프레임
1. 프레임 워크란? 2. html5에 대해서,프레임
