question,extracted_terms
"3대1 면접. 자기소개 따로 없음. 코딩테스트 리뷰-자소서 기반&기술 질문-손코딩 순으로 진행. 아래 생 각나는대로 적어봄. 코딩테스트 리뷰 본인 생각에 코딩테스트에서 가장 아쉬웠던 점은? 코딩테스트 후 완성도를 높이기 위해 더 노력한 사항이 있는지? 설계나 사용한 자료구조에 대한 설명 등 질문 자소서에 적힌 사항에 대한 질문들 벡터&어레이리스트&배열의 차이점은? 추상클래스와 인터페이스의 차이점은? 오버로딩과 오버라이딩의 차이점은? OOP의 특징 4가지를 설명해보라 Java의 접근제한자 4가지를 설명해보라 synchronized에 대해서 아는대로 설명해보라 등 주로 Java, Spring에 대한 질문이고 네트웤, OS 등에 대한 질문도 몇 개 있음. 타기업들과 비교했을때 그닥 어려운 난이도는 아님. ""서류전형-코딩테스트-1차면접 후 탈락. 코딩테스트는 타기업들과 달리 프로그램 작성 후 메일로 프로젝트를 제출하는 식. 1차면접은 타기업들과 크게 다르지 않은 다대일 기술면접 형식. 면접관들은 면접에 대한 교육을 따로 받고 들어오시는듯 굉 장히 친절하심. 다만 각 전형별 피드백이 없는 부분이나 면접진행 시 불필요하게 여 러 사람과 장소를 거쳐야 하는 등 프로세스는 좀 아쉬웠음."" (주)쏘카 Backend Developer 3 ~ 8년, Javascript 합격보상 100만원  (주)코드박스 [200억 ↑투자, 두나무 계열사] 소프트 웨어 엔지니어 3 ~ 10년, python, react, graphql, typescript, Django fra…  (주)트레드 Back-e 경력무관, j 액 3000억원 이상 (주)교원 포지션 0개 채용 중 2 코이즈(주) - 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스",Java
1. 특정 언어에 대한 지식(Java 위주) 2. DB에 대한 전반적인 지식 3. 진행했던 프로젝트에 대한 소개,Java
"1차 기술면접에서는 사용해봤던 기술의 기초 지식이나 DB 반정규화를 왜 하는지, Java 에서 OutOfMemory가 발생했을 때 어떻게 할 것인지등의 질문을 합니다. 2차 CTO면접에서는 대용량의 메모리를 남기는 경우 어떻게 해야하는지 등의 질문을 했는데 자료구조 이론 같은 것을 잘 알고있다면 무난하게 답변할 수 있을거라 생각합니다. 3차는 편하게 진행됩니다. 왜 지원했지는지 등등.. ""1차 기술면접 -> 2차 CTO 면접 -> 3차 써드아이 면접"" 불합격 보통 도움이 돼요 0",Java
"Java 코딩 문제. 정렬문제나 디자인 패턴과 관련 된 일반적인 Java 개발자 인터뷰 문제가 출제 됨. 채용방식 스킬테스트, 개인면접 ""헤드 헌터를 통해 입사 지원 후 인터뷰에 참석, 핸드 코딩을 포함한 기술 인터뷰를 진행. 핸드 코딩 문제는 대상자의 어떤 자질을 평가 하려는지 이해 조차 안되는 수준의 문 제였음. 면접과 2명 중 한 명은 한 시간 내내 거의 아무말 없이 자신의 노트북과 나를 번갈아 보며 앉아 있었고 한 명은 면접관으로서의 소양이나 자질이 전혀 갖추어지지 않은 인원이었음. 이 두 사람을 대하게 되면 누구라도 이 회사에서는 일하기 싫다 라는 생각을 가지게 될 것이라고 장담할 수 있음. 헤드헌터에게 위 내용에 대해 이야기 한 후 이후 진행 사항을 모두 취소하고 다른 회 사로 이직."" 대기중 부정적 도움이 돼요 0",Java
"갑자기 트래픽이 몰렸을때 소프트웨어 적으로 해결할 수 있는 방법은? Java enhanced for loop 를 사 용하여 a, b 교집합을 리턴하는 클래스를 구현하시오,",Java
"테이블 설계시 주의점에 대해서 말해보라 만약 리더로 활약한다면 무엇을 할 수있는가 발표시기 5일 후 ""분위기는 나쁘지않았고 편안한분위기에서 면접을 보았다. 경력위주 무엇을 해보았는지. 기본적인 프로그래밍, 디비지식도 물어보았다."" 합격 보통 라이언앤코(주) [경력] Java Web 개발자 모집 [주4일 출 근제 도입] 3 ~ 5년, java, Spring, aws, jquery, MYSQL, DB, was, 파…  (주)트레드링스 Back-end 개발 상시 채용 경력무관, java, Spring, SQL, java spring 백엔드  (주)피매치 백엔드 경력무관, p 합 액 3000억원 이상 오진상사(주) 포지션 10개 채용 중 3 코이즈(주) 1 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  신고하기 도움이 돼요 0",Java
"Java 8 특징 설명, jvm 메모리 구조 설명, 디자인 패턴 설명",Java
"경력 위주 자기소개, Kotlin, Java, 아키텍처, 업무 관련 이슈 처리 API 처리",Java
안드로이드 컴포넌트 관련 질문 RxJava 관련 질문 쓰레드 처리 관련 질문,Java
"프로젝트 하면서 힘들었던 일은 없었는지, 지원 동기가 어떻게 되는지, 그리고 많은 기술적인 질문들. Java에 대해서 뿐만 아니라 통신에 대한 부분 등 폭 넓은 질문을 받았다.",Java
"면접 기간이 좀 오래걸려요 한달? 정도 걸렸던거 같은데 사람마다 다른듯.. 라이언앤코(주) [경력] Java Web 개발자 모집 [주4일 출 근제 도입] 3 ~ 5년, java, Spring, aws, jquery, MYSQL, DB, was, 파…  (주)쏘카 Backend Developer 3 ~ 8년, Javascript 합격보상 100만원  (주)트레드 Back-e 경력무관, j 2 던킨/던킨도너츠 (… 4 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스",Java
"Jvm 아는대로 말해보기 Java 람다식 동작원리 등등 발표시기 15일 후 ""경험에 대해 꼬리물기식 질문이였고 1시간정도 기술면접만 진행했다 같은 부서에 면접 본 친구가 있는데 그 친구는 여자라 그런가 면접이 기술 얘기보다 인생 얘기가 많았는데 붙었다. 팀 리더가 면접을 안 보고 같은 부서인데 면접자가 다 르다. 개판이다"" 불합격 보통 도움이 돼요 0",Java
기술면접에서 손 코딩 질문은 * 연산을 하지 않고 곱셈을 하는 방법에 대한 문제였습니다. 그 외에 제가 진행했던 프로젝트의 소프트웨어 아키텍처에 대한 질문이 있었습니다. 웹 개발 분야로 지원했기 때문에 웹 개발에 대한 심도있는 질문들도 많이 있었습니다.(Java 기초 / Spring framework / 개발했던 웹 프로젝트의 구조 등등...),Java
전화면접: Android와 Java에 대해 나왔습니다. 기술면접: 알고리즘에 대해 대부분 나왔습니다.,Java
"1시간정도 진행하며 손코딩 2~3문제 후 전공 기본지식에 대한 질문을 하는 식으로 진행. 손코딩은 어 렵다기보다 어떻게 구현하는지를 보는 느낌. 전공질문은 대답하면 심화질문을 던지는 꼬리물기식으로 계속 진행. 서버개발 쪽이라 OS, 자료구조 등에 대한 질문이 주를 이루었음. 자신있는 언어를 Java로 적었더니 JVM과 GC에 대한 질문도 받았음. 면접관들은 긴장도 풀어주시면서 매너있게 대해주셨음.",Java
"[N사 전화면접] - 소요시간 : 30분 자신이 한 프로젝트 기준으로 자기소개 해주세요. 본인이 지금까지 한 프로젝트에 대해 간략히 소개해주세요. RESTFul 쓰는 이유 (굳이 왜?, 일반적으로 post로도 다 통신 하면되는데 왜?) Javascript에서 클로저가 무엇인가? 스프링에서 IoC, DI, AOP가 무엇인가 설명해보세요. Java 다형성, 추상클래스에 대해 설명해보세요. 트랜잭션에 대해 설명해보세요. iBatis/myBatis에서 #와 $의 차이점을 설명해보세요. React의 단점이 있는데 그 단점이 무엇이며 단점을 보완하기 위해 최근에 나온것이 있는데 그게 무엇 인가요? 실무(개발)코딩이 아니라 문제해결을 위한 코딩에 대해 자신이 있나요? (1차면접때 손코딩문제를 내기 에 미리 알려드리는겁니다.) 포트폴리오 관련 질문 3~5개 Java에서 static과 final에 대해 설명해보세요. 본인이 주로한 분야는 FE인가요? BE인가요? html meta태그에 viewport를 쓰셨던데 이게 무엇인가요? 본인이 개발한 서비스가 운영중 느려질경우 어떻게 대처 할 것인가? soa / msa 정의 mysql scail out 과 mongodb sharding 어떨때 쓰나 ""서류전형 > 전화면접 > 1차면접 > 2차면접 > 입사"" 2 던킨/던킨도너츠 (… 4 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스",Java
Java에 관한 디테일한 질문들 나옴,Java
"Java에 관한 디테일한 질문들 나옴. 가비지컬렉션에 대해 설명. 주소창에서 url을 친 후 페이지가 보이기까지 일련과정을 설명. Collection 관련 OOP개념과 디자인패턴, 손코딩 지금까지해온 플젝 설명",Java
"안드로이드 개발자로 지원하였고, 컴퓨터공학 일반, Java, 안드로이드, 알고리즘 일반에 대해 두루두루 물어보았습니다. 몇 가지 구체적 질문을 공유하면, 1) Dynamic Programming이 무엇인지 설명하시오 2) 안드로이드에서 쓰레드 간에 통신하는 방법은",Java
"대체적으로는 진행했던 프로젝트 관련 질문들이였고, 내가 한일에 대해서 질문 받았습니다. 또 데이터 베이스, 소프트웨어공학, 자료구조, 알고리즘, Java 클래스 정도에서 면접질문이 나왔어요.",Java
"인성면접시에는 이직사유와 최신 IT트렌드 키워드3가지, 희망 연봉을 높게 적었는데 그 이유 등 생각보 다 압박면접이었고, 기술 면접은 본인이 작성한 PPT를 PDF로 변환해서 PT발표를 진행, 발표 후 질문 받음. 프로젝트 운영하면서 내가 개발한 것이 장애가 났을때 대처 방법, Java, JVM의 역할, 이전 회사에서 내가 참여했던 프로젝트 및 담당했던 부분 등을 얘기 했음.",Java
"데이터 풀 설명 객체지향과 절차지향 언어의 장단점 취미 특기 등 자소서 기반 질문 아프리카 개선 사항 채용방식 필기시험, 그룹면접 발표시기 30일 후 ""대체적으로 무난하였고 압박면접은 아님 기술테스트 후 바로 1차 면접 시작 기술테스트 관련 질문보다는 자소서 기반 질문이였고 기본적인 지식만 있다면 기술 테스트 무난히 통과 탈락의 당락을 결정짓는 것은 아닌듯 이를 마치면 필수전형으로 bj를 해야 하고 이후 임원 면접 실시 임원 면접에서도 100% 인성은 아니고 실무 관련 질문도 한 두개정도는 들어옴 아프리카티비 프로그램에 관해 많은 고민을 해보아야 함 개선사항은 1차 2차 모든 면접에서 들어온 질문임"" 불합격 보통 (주)액션파워 Back-end Engineer (경력 5년 이상) 4 ~ 15년, node.js, Docker, Kubernetes, firebase 합격보상 200만원  라이언앤코(주) [경력] Java Web 개발자 모집 [주4일 출 근제 도입] 3 ~ 5년, java, Spring, aws, jquery, MYSQL, DB, was, 파…  (주)코드박 [200억 웨어 엔 3 ~ 10년, OOP 5개 공고 지원 가능! 채용공고 보기 2 코이즈(주) 1 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  신고하기 도움이 돼요 0",Java
"RxJava를 잘 활용하는지, 람다를 이해하고 있는지, 모바일 앱의 미래는 어떨 것인지",Java
"Java에 Object에 대해서 설명하세요.. 채용방식 스킬테스트, 개인면접 발표시기 1일 후 ""기술 면접을 상세하게 설명하게 합니다. 한일이 아닌 어떤 일을 했는지 기술하는걸 선호 하는거 같습니다. 코딩 시험을 보게 하는데 기본적인거 부터 어려운 알고리즘 문제를 내고 그중 골라 서 진행하게 됩니다. 그 후 자기 주력 언어에 단답형 질문을 주고 받습니다."" 불합격 부정적 도움이 돼요 0",Java
"마이다스 챌린지 본선 후 개인 연락이 옴. 인적성 후 PT 임원면접 (주)쏘카 Backend Developer 3 ~ 8년, Javascript 합격보상 100만원  라이언앤코(주) [경력] Java Web 개발자 모집 [주4일 출 근제 도입] 3 ~ 5년, java, Spring, aws, jquery, MYSQL, DB, was, 파…  (주)트레드 Back-e 경력무관, j 액 3000억원 이상 (주)제니엘 포지션 38개 채용 중 2 (주)오픈노트 - 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  면접경로 온라인 지원",Java
"네트워크 부분에서 유선인터넷을 이용하기까지 LG유플러스에서 하는 일이 무엇인지, 컴퓨터공학을 전 공으로 왜 네트워크 직무에 지원했는지 질문하셨습니다. 채용방식 개인면접 ""캠퍼스캐스팅 전형으로 LG 인적성 시험을 보기 전, 지방에서 면접을 보았습니다. 탈스펙 전형이기 때문에 자기소개서를 제출하면 모두 면접의 기회를 얻을 수 있습 니다. 자기 5분 PR 후, 질문을 통한 면접이 진행됩니다. 면접관께서는 지원자의 이 름, 성별, 전공만 알고, 면접을 진행하시고, 작성된 자기소개서에 대한 정보를 하나 도 가지고 있지 않기 때문에 5분 PR을 통해 충분한 어필을 하고 질문에 답을 잘하는 게 중요한 것 같습니다."" 대기중 보통 라이언앤코(주) [경력] Java Web 개발자 모집 [주4일 출 근제 도입] 3 ~ 5년, java, Spring, aws, jquery, MYSQL, DB, was, 파…  (주)피매치 백엔드 엔지니어 (채용전환형 인턴) 경력무관, python, SQL, azure, PostgreSQL, rest api, 시… 합격보상 100만원  (주)박차컴 JAVA 개 5년 이상, j 합 액 3000억원 이상 휴맥스홀딩스(주) 포지션 0개 채용 중 2 코이즈(주) - 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  신고하기 도움이 돼요 0",Java
