question,extracted_terms
C#과 C++ OpenCV java는 어떤 관계가 있나요? 객체지향 이란?,C#
"가장 좋아했던 전공과목은 무엇이었나? 좋아했던 사유를 말해주세요 채용방식 인/적성검사, 개인면접 발표시기 30일 후 ""기술,인성 면접을 한번에 진행하였습니다. 이전에 했던 프로젝트에서 수행한 일 위 주로 질답하였습니다."" 합격 긍정적 신입공채 채용 판도 뒤바꾼 SKT…”오히려 좋 아” [인터뷰] SK텔레콤 광고사업팀 김유민님, Ranker팀 김태 현님 찐친부터 가족까지 입사시키고 싶은 이 회 사, 비결은? 찐으로 ‘좋아요’ 꾸욱 누르게 만드는 SKT 구성원 리뷰 모 음.zip K텔레콤(주) 사의 빠른 소식을 받아보세요! 2 코이즈(주) 8 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  신고하기 도움이 돼요 0",Rank
불리한 입장에서 협상을 하라는데 그게 제 입장에서는 너무어려웠습니다 플랫폼은 무엇인가요?,플랫폼
현재 개발하고 있는 모듈의 구조나 배경지식들을 주로 물어보았습니다.,모듈
"나옵니다"" 합격 보통 신입공채 채용 판도 뒤바꾼 SKT…”오히려 좋 아” [인터뷰] SK텔레콤 광고사업팀 김유민님, Ranker팀 김태 현님 찐친부터 가족까지 입사시키고 싶은 이 회 사, 비결은? 찐으로 ‘좋아요’ 꾸욱 누르게 만드는 SKT 구성원 리뷰 모 음.zip K텔레콤(주) 사의 빠른 소식을 받아보세요! 3 엘티삼보(주) 1 기업 랭킹 채용 뉴스 연봉 이직 뽐뿌 오는 날 5분 완성, 1년 간 기업정보가 무료!    제휴 대학 서비스  신고하기 도움이 돼요 0",Rank
"리눅스 버전별 차이점, 프로젝트 진행 경험, 현재 skt 시스템에서 개선해야될점 어떻게하면 관리가 용 이할지 서술 발표시기 16일 후 ""linux 엔지니어 채용으로 상수사옥에서 면접진행 세분이 들어오셨고 개론적인 질 문이 상당히 많았습니다."" 불합격 보통 도움이 돼요 0","시스템, in, 상수"
SPA앱에서 메모리를 관리하는 방법? 디버깅하는 방법? 프로젝트하면서 어려웠던 경험?,디버깅
디버깅은 어떻게 하셨나요? 퍼블릭 클라우드로 구성하지 않고 온프레미스로 구성한다면 어떻게 해야할까요?(퍼블릭 클라우드를 사용한 프로젝트가 pt에 있었음) 마지막에 직군이 몇개 있는 데 그 중에 뭘 하고 싶냐(데이터/프론트/백엔드 등등),디버깅
"Use case를 바탕으로 최근 보안공격의 형태와 침해사고 유형별 시스템별을 설명하라. 4g/5g등 이동통신망의 구조와 5G보안공격, MEC에 대한 보안아키텍처 설계 방향성 설명","case, as, 시스템"
어떻게 하면 OO 시스템을 잘 쓸 수 있을까?,시스템
"프로젝트 때 어떤 역할을 했나? 자소서에 어떠한 점이 참신하다고 자신을 어필했는데 이게 진짜 참신하다고 생각하나? 5G 커버리지 전략 짜고, 구체적인 엔지니어링 전략 2개 도출 후 구체화하기",구체화
전공이 무엇인지? 인턴이나 아르바이트 경력이 있는데 자세히 어떤 일을 했는지? 평소 꼼꼼한 성격인가? 풀타임으로 일할 수 있겠는가,바이트
"1. 직무 면접은 개인으로 진행되었으며 직무와 관련된 전공 내용이 적힌 소문항 20개정도로 이루어진 대문항 3 개 중 대문항 2개를 골라 그 중 속해있는 소문항 1개씩을 PT 발표하는 형식 이였습니다. 2. HR 면접은 2인 1조로 진행되었으며 자소서 내용 이외의 인성에 대한 질문을 하였습니다. ex) 살면서 가장 힘들었던 일은?, 동료와 함께 일을 했던 경험이 있는가? 등 3. 팀장 면접은 개인으로 진행되었으며 자소서 관련하여 질문 내용이 나오며 약간의 압박 면접이 있었 습니다. ex) 자소서 문항 중 참신하게 문제를 해결한 적이 있는 내용에서 그게 진짜 참신하다고 생각하는가?, 어 떤 부분에서 그러는가? 4. 토론 면접은 총 8명 중 4명씩 팀을 이루어 진행하는 협상 면접과 8명 전원이 함께 해결해 나가는 토 론 면접, 주제에 대한 결론을 2팀으로 나누어 도출하는 면접이 진행되었습니다. ex) 각 팀에 대한 협상 조건을 주어주고 협상을 통해 원하는 결과를 얻는 면접, SKT 사업 관련하여 좋은 서비스를 제공하기 위한 결론 도출, 자료를 통해 소비자에게 맞는 사업아이템 구현",아이템
