question,extracted_terms
"기초적인 머신러닝 기초 개념에 대한 질문 (딥러닝 네트워크가 잘 되는 이유), SVM에 대해서 설명해 보아라. Renforcement learning에서 exploration과 exploitation에 대한 개념을 설명하라.",머신러닝
"1. 안드로이드나 iOS, 머신러닝도 있는데 굳이 웹 프론트를 선택한 이유는? 2. 1일 1커밋을 오랫동안 진행하셨는데, 어떤 내용에 대해서 공부하셨나요? 3. 공유하고 싶은 프로젝트나 문서, 작성한 부분에 대해서 설명해보세요. 프로젝트에서 어려웠던 점은?",머신러닝
"classification 과 regression 의 차이. Bias 의 필요성. K-mean, knn 등 머신러닝 질문",머신러닝
PT질문 중 머신러닝을 통해 인간과 같은 로봇을 만들수 있을까? 라는 주제가 주어졌었습니다.,머신러닝
머신러닝 내용도 나왔어서 다소 범위가 넓었었습니다. 좀 더 넓게보시는느낌,머신러닝
1. 동아리 활동한 것에 대해 2. 졸업프로젝트(머신러닝 관련)에 대해 3. 5G가 초고속 특성을 갖게 해주는 기술의 종류 4. 네트워크 장비의 종류,머신러닝
"1차 면접때 1분자기소개는 안해서 좋았음, 2차 면접때는 1분 자기소개 시킴 안랩 제품 뭐가 있는지, 특징, 특성, 여태까지 한 프로젝트 경험 AI, 클라우드, 블록체인, 머신러닝 등 한가지 선택해서 서술 및 꼬리질문",머신러닝
"공부하고자 하는 분야(머신러닝, 딥러닝) 과 라인 사업 연관성에 관해서 물어본것.",머신러닝
"1. 드론에 3d카메라를 부착하는 기술이 이미 있습니다. 당시 알고 계셨는지? 2. 머신러닝은 어떤 솔루션을 사용했고, 적용할 당시의 자세한 설명을 듣고 싶다. 3. 안드로이드 개발은 어떠한 계기로 시작하게 되었는지?",머신러닝
"수행 프로젝트에 대한 구체적인 설명, 서울 및 지방 근무 가능 여부, 머신러닝 관련 기술",머신러닝
"자기소개를 먼저 한 후에 자기소개에 대한 질문들을 주로 물어봅니다. 그 이후에 취업이후 개발역량을 키우기 위해 노력했던 것, 테스트와 매핑하여 질문 머신러닝과 딥러닝과의 차이점 솔루션에 대한 문제해결능력",머신러닝
기존에 했던 프로젝트 설명을 해주세요. 머신러닝과 딥러닝 기반의 이해와 챗봇솔루션에 대한 방향성,머신러닝
"페이코의 장점은 뭐냐?, 직장 상사와 마찰이 생겼을 경우 어떻게 할거냐? , 머신러닝에 대해 비전공자들 도 이해할 수 있게 설명해달라",머신러닝
"경력들의 세부 질문, SI 업체를 아는지, 머신러닝에 대해, 성과를 낸 일",머신러닝
"[신입 개발자 1차 실무진 면접] 0. 자기소개 1. 프로그래밍 공부 초기 때 어려웠던 C언어 문제 2. 전과한 이유 3. C언어의 사용기간이 가장 긴데, 코딩테스트를 파이썬으로 본 이유 4. 가장 최근에 C언어로 만들어본 것 5. 웹 프로그래밍을 해본 적이 있는지 6. 네트워크 프로그래밍(소켓통신)을 해본 적이 있는지 7. 리눅스를 써서 개발해본 적 있는지 8. 모바일 앱(안드로이드나 iOS)을 만들어본 적이 있는지 9. 파이썬으로 인공지능이나 머신러닝 같은 걸 쓰거나 만들어본 작품이 있는지 10. C, Python으로 만들어본 대표 작품 하나씩 얘기해주세요 11. 교내대회 수상이력이 있는데, 어떤 대회인지 설명(대회 이름이 좀 길어서 질문하신 것 같다) 12. 프로젝트들을 진행하면서 가장 어려웠던 부분과, 어떻게 해결했는지 13. SW개발 위주로 공부한 만큼, 보안/네트워크 쪽 지식이 부족할 것 같은데 그로 인해 업무에 어려움 이 생긴다면 어떻게 할것인지 13-1. (기초지식 검증?? 질문이라고 생각됩니당) 네트워크나 보안 관련해서 알고 있는 지식 아무거나 말씀해주세요 14. 입사하게 된다면 어떤 일을 하고싶은지 15. 윈스 제품에 대한 자세한 스펙?특징?들을 알고있는지? 16. 향후 5년, 10년 뒤에 개발자로써 어떤 개발을 하고 싶은지(회사에서의 모습이 아니라 내가 개인적 으로 어떤 분야의 개발을 꿈꾸고 있는지 여쭤보신 것) 17. 그 외 포트폴리오(대학교에서 한 프로젝트들) 작품에 대한 질문들",머신러닝
iaas paas saas에 대해서 말해봐라 클라우딩컴퓨터는 아나 머신러닝은 아나 각종 네트워크 최신보안이슈 자소서기반 꼬리물기식 질문이 대단함 정확히모르면 모를거임. 압박이심함 세세하게 다묻고 왜썼냐고 묻는다 열심히하는 모습좀 보여달라했는데 그렇게 탈탈털면 열심히 하고싶어도 못할것 같음.. ojt가 없어서 많 이 알고 있으면 좋겠다 이러는데 그러면 경력뽑아야지않나..? 특히 같이들어간 한분은 탈탈 털리더라 1분자기소개랑 지원동기를 안묻고 바로 전공질문시작했었음,머신러닝
