question,extracted_terms
C#과 C++ OpenCV java는 어떤 관계가 있나요? 객체지향 이란?,C++
"동영상 잘 아시나요?, C++ 해보셨나요?, 공부방법",C++
"99프로 기술질문. 스레드에 대한 질문, 사용하는 디자인패턴, C++의 기본 지식, 메모리관리, 코딩테스트는 비교적 쉬운 양식을 구두로 설명하는 방식으로 진행되었음.",C++
"학교 생활 중에서 가장 기억에 남는 활동 본인이 진행한 전공 프로젝트중에서 가장 기억에 남는 프로젝트, 본인의 역할과 개발언어 다룰 수 있는 프로그래밍 언어 자바와 C++의 차이점 채용방식 필기시험, 스킬테스트, 그룹면접, 토론면접 발표시기 15일 후 ""기술면접으로 다대다로 진행했고, 본인이 했던 경험과 전공고 관련된 질문이 주를 이룸"" 불합격 보통 도움이 돼요 0",C++
"1차 코딩테스트: 이메일로 문제를 받고 4시간 안에 작성한 코드와 결과파일을 제출. 문제는 영어로 출제됨. playlist에 있는 노래를 랜덤 재생할 수 있도록 셔플링하는 코드 작성. C++ 혹은 Python 으로 코드 작성시 가산점 있음. 전화코딩테스트: 행아웃으로 약속한 시간에 전화가 와서 약 1시간 동안 진행. 면접관에게 화면 공유를 해야함. 세 문제 출제. 1번과 3번 문제는 쉬워서 말로 출제. 2번 문제는 영어 지문을 읽고, 주어진 조건을 만족하는 코드 작성. (anagram 관련 문제였음.)",C++
"전반적인 기본지식에 대해서 꼼꼼히 물어봤습니다 C++부터 3D, 네크웍, 엔진 하나하나 꼼꼼히 깊이 물어봤습니다. 채용방식 필기시험, 스킬테스트, 그룹면접 ""공식 채용사이트에서 지원후 하루만에 연락을와서 1차면접을 보러갔습니다. 그리고 면접을본후 결과를 기다리고 있습니다"" 대기중 긍정적 도움이 돼요 0",C++
C++의 Vector에 대한 꼬리질문들 포트폴리오에 있던 게임중 해당 게임의 스펙이나 구현 방법에 대한 질문 C#의 GC의 작동 방식과 언어 사양에 대한 질문들,C++
모던 씨플플 써봤는지. DB주로 뭐 쓰는지. C++ 관련 내용.,C++
"phase 1. 이력서 기반 질문 phase 2. 프리젠테이션으로 문제를 제시하고 답 하라고 함. C++ 스킬 심화과정 질문 - RVO, NRVO 설명 - SFINAE 설명 - smart_pointer에서 weak_ptr 설계",C++
C++의 다형성을 C로 구현하려면 어떻게 해야할까요?,C++
"1. C++ list.sort()와 std::sort(vector.begin(), vector.end())의 차이점? 2. C++의 이동 시맨틱이란 무엇인가? 3. std::shared_ptr의 동작 원리를 간단하게 설명하면? 4. std::weak_ptr와 일반 C-style 포인터의 차이점은? 채용방식 스킬테스트 발표시기 3일 후 ""코딩 테스트에 통과하고 3일 정도 후에 연락이 왔음. 자신이 주로 사용하는 언어에 대해 심도있게 물어보는 편. 생애 첫 면접이고 준비도 미흡해서 대답은 제대로 하지 못했음."" 불합격 긍정적 도움이 돼요 0",C++
1. C++/스마트 포인터란 무엇인가? 2. C++/new와 delete 짝이 안 맞으면 발생하는 일은? 3. C++/stl vector의 resize연산의 내부동작은?,C++
"OOP , C++, Pointer, Virtual Function, Sort, Tree, Big O, Thread, TCP/UDP , Rendering Pipeline 등 기본적인 기술 질문 포트폴리오 구현된 기술 질문 팀작업시 겪은 애로사항에 대하여 질문",C++
위키피디아에서 기술 관련 영어 해석 어떤 과목을 가장 좋아했는지 - 좋아하는 과목을 말하면 집중적으로 물어봄 C++의 메모리 구조,C++
"C/C++ 기초적질문 넥슨에대해서아는가 플랫폼 ㅂ라전.. 채용방식 스킬테스트, 그룹면접 발표시기 7일 후 ""1차테스트 - 면접- 2차테스트 -합격"" 합격 긍정적 도움이 돼요 0",C++
"1. 현장 코딩 테스트는 C++이나 C#을 이용해서 지정된 프로그램을 작성하게함 2. 1차 직군 면접에서는 자기소개서에 있는 내용보다는 전공 (프로그래밍 언어, DB, 네트워킹, 그래픽 등)에 관한 질문을 함 3. 관심있는 언어나 최근에 읽은 책들에 대해 물어봄 채용방식 스킬테스트, 개인면접 발표시기 10일 후 ""서류 및 온라인 코딩 테스트 진행 후 합격시 현장 코딩 테스트 1시간 및 1대1 직군 면접 1시간 진행"" 대기중 긍정적 도움이 돼요 0",C++
"C, C++, 자료구조, 알고리즘, 운영체제, 컴파일러, 데이터베이스, 그래픽스, 유니티 엔진 등등... 컴퓨터공학 전반적인 내용에 대해 물어봅니다. 질문에 대한 대답을 하면 거기에 대한 꼬리질문이 계속 이어지게 됩니다.",C++
Java 제네릭과 C++ 템플릿의 차이점,C++
"서류통과 하고 직군면접에서 기술적인 부분을 물어봅니다 C++, 시스템, 최근 기술, 사람 경력 하는 일에 따라서 질문은 +@ 팀면접의 경우팀마다 다르긴 한데 직군면접 보단 강도는 조금 약하지만 거의 실제 직군면접 수준으로 진행 되는 경우도 있고 인사적인 형태로 진행 되는 경우도 있고 경우에 따 라 팀 면접이 몇번 더 잡힐 수도 있음",C++
C++의 케스팅 후에 포인터 주소가 변경될수 있는 상황은?,C++
